Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Attachment,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify that in the field of 'Manufacturers Name' after modifications it should be displayed on the records page,UM-69,10104,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,08/Sep/21 10:58 AM,09/Sep/21 9:37 AM,09/Sep/21 9:38 AM,08/Sep/21 11:24 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-51,UM-21,,,,,,,,,{},,,,,,,0|i000ev:,,UM Sprint 1,,,,,,,,Done
Verify that on Image Manager page after clicking on 'Delete' button it should show the pop-up like 'Are you sure',UM-68,10103,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,07/Sep/21 9:48 AM,09/Sep/21 9:38 AM,09/Sep/21 9:38 AM,07/Sep/21 10:28 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-4,UM-2,,,,,,,,,{},,,,,,,0|i000en:,,UM Sprint 1,,,,,,,,Done
Verify that after adding the data on the 'Add Manufacturers' page and after saving it should show the message 'Success: You have modified the Manufacturers' on the records page,UM-67,10102,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,07/Sep/21 9:17 AM,09/Sep/21 9:27 AM,09/Sep/21 9:27 AM,07/Sep/21 10:27 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-58,UM-2,,,,,,,,,{},,,,,,,0|i000ef:,,UM Sprint 1,,,,,,,,Done
Verify that after clicking on the 'Delete Button' it's showing the pop-up msg like 'Are you sure?',UM-66,10101,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,05/Sep/21 5:05 PM,09/Sep/21 9:38 AM,09/Sep/21 9:38 AM,07/Sep/21 10:26 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-46,UM-24,,,,,,,,,{},,,,,,,0|i000bo:,,UM Sprint 1,,,,,,,,Done
Not mentioned that 'Search' field is only for searching the folders not for the Images,UM-65,10100,Bug,To Do,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,05/Sep/21 4:12 PM,09/Sep/21 10:31 AM,09/Sep/21 10:23 AM,,,0,"h1. Not mentioned that ‘Search' field is only for searching the names of folder not for the Images as after searching the image names it’s not showing the results.



Steps to Reproduce

1.Go to the application

2.Go to the Add Manufacturers page

3.Go to the Image Manager page

4.Verify the search functionality for searching the Images

Expected Result

 It should be mentioned that ‘Search’ functionality is only for searching the folders not for the Images.

Actual Result

Not mentioned that ‘Search’ functionality is only for searching the folders not for the Images.

Searched the name of Image

!Capture.PNG|width=50%!

Not showing results according to searched Image name

!Capture1.PNG|width=50%!

But showing results for searched folder name

!Capture2.PNG|width=661,height=206!",,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,UM-2,UM-59,,,05/Sep/21 4:46 PM;ug:9877bc96-0b9d-4348-aca0-20358854aa74;Capture.PNG;https://uniformstore.atlassian.net/secure/attachment/10002/Capture.PNG,05/Sep/21 4:46 PM;ug:9877bc96-0b9d-4348-aca0-20358854aa74;Capture1.PNG;https://uniformstore.atlassian.net/secure/attachment/10001/Capture1.PNG,05/Sep/21 4:46 PM;ug:9877bc96-0b9d-4348-aca0-20358854aa74;Capture2.PNG;https://uniformstore.atlassian.net/secure/attachment/10000/Capture2.PNG,,,,,,{},,UM-1,,,,,0|i000e7:,,UM Sprint 1,,,,,,,,To Do
Verify that on Image Manager page 'Check Boxes' are present before the name of folders or images ,UM-64,10099,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,04/Sep/21 5:58 PM,09/Sep/21 9:30 AM,09/Sep/21 9:30 AM,07/Sep/21 10:11 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-63,UM-2,,,,,,,,,{},,,,,,,0|i0006u:zzzr,,UM Sprint 1,,,,,,,,Done
Verify that on Image Manager page 'Pagination' displayed must contain previous and next clickable buttons,UM-63,10098,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,04/Sep/21 5:28 PM,09/Sep/21 9:25 AM,09/Sep/21 9:25 AM,07/Sep/21 10:11 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-13,UM-2,,,,,,,,,{},,,,,,,0|i0006u:zzzi,,UM Sprint 1,,,,,,,,Done
Verify that after clicking on 'Save' button it should show the message 'Success: You have modified the Manufacturers' ,UM-62,10097,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,04/Sep/21 10:26 AM,09/Sep/21 9:25 AM,09/Sep/21 9:25 AM,07/Sep/21 10:19 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-57,UM-21,,,,,,,,,{},,,,,,,0|i000au:zr,,UM Sprint 1,,,,,,,,Done
Verify that in 'Manufacturer Name' field if not entered any data it's showing the msg that Manufacturer name must be between 2 to 64 characters,UM-61,10096,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,04/Sep/21 10:15 AM,09/Sep/21 9:39 AM,09/Sep/21 9:39 AM,07/Sep/21 10:10 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-28,UM-2,,,,,,,,,{},,,,,,,0|i0006u:z,,UM Sprint 1,,,,,,,,Done
Verify that when admin enters alphabets or special characters in the 'Sort Order' field by default it should show 0 on the records page,UM-60,10095,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,04/Sep/21 9:59 AM,09/Sep/21 9:36 AM,09/Sep/21 9:37 AM,07/Sep/21 10:12 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-18,UM-2,,,,,,,,,{},,,,,,,0|i000ab:,,UM Sprint 1,,,,,,,,Done
